ROM;Clone of;Name;Year;Status;Comment
1941;;1941 - Counter Attack (World);1990;compatible;"4 differences (compatible): 
 - rom [4143.bin] unnecessary
 - rom [4142.bin] unnecessary
 - rom [4137.bin] unnecessary
 - rom [4136.bin] unnecessary"
1942;;1942 (set 1);1984;matches;"matches"
1943;;1943: The Battle of Midway (US);1987;matches;"matches"
1943kai;;1943 Kai: Midway Kaisen (Japan);1987;matches;"matches"
1944;;1944: The Loop Master (US 000620);2000;matches;"matches"
19xx;;19XX: The War Against Destiny (US 951207);1996;matches;"matches"
4dwarrio;;4-D Warriors;1985;incompatible;"14 differences (incompatible): 
 - rom [4d.116] missing
 - rom [4d.109] missing
 - rom [4d.96] missing
 - rom [4d.120] missing
 - rom [4d.62] missing
 - rom [4d.61] missing
 - rom [4d.64] missing
 - rom [4d.63] missing
 - rom [4d.66] missing
 - rom [4d.65] missing
 - rom [4d.117] missing
 - rom [4d.04] missing
 - rom [4d.110] missing
 - rom [4d.05] missing"
altbeast;;Altered Beast (set 7, 8751 317-0078);1988;incompatible;"1 differences (incompatible): 
 - rom [317-0078.bin] missing"
aof3;;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;incompatible;"17 differences (incompatible): 
 - rom [096-c6.bin] wrong CRC (4fca967f/expected: 9a9d2f7a)
 - rom [096-c5.bin] wrong CRC (1718bdcd/expected: c75a753c)
 - rom [096-c4.bin] wrong CRC (cbd58369/expected: 585b7e47)
 - rom [096-c3.bin] wrong CRC (7749f5e6/expected: 55f9ee1e)
 - rom [096-c2.bin] wrong CRC (f587f149/expected: 3840c508)
 - rom [096-c1.bin] wrong CRC (f6c74731/expected: f17b8d89)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
arkanoid;;Arkanoid (World);1986;can_be_fixed;"3 differences (can_be_fixed): 
 - rom [08.bpr] wrong name (08.bpr/expected: a75-08.bpr)
 - rom [07.bpr] wrong name (07.bpr/expected: a75-07.bpr)
 - rom [09.bpr] wrong name (09.bpr/expected: a75-09.bpr)"
arknoid2;;Arkanoid - Revenge of DOH (World);1987;incompatible;"4 differences (incompatible): 
 - rom [b08_11.11c] unnecessary
 - rom [b08_12.3e] unnecessary
 - rom [b08_06.3e] unnecessary
 - rom [ark28742.bin] missing"
asteroid;;Asteroids (rev 2);1979;compatible;"5 differences (compatible): 
 - rom [035127.01] unnecessary
 - rom [035145.01] unnecessary
 - rom [035144.01] unnecessary
 - rom [035143.01] unnecessary
 - rom [readme.ast] unnecessary"
astinvad;;Astro Invader;1980;matches;"matches"
astrob;;Astro Blaster (version 3);1981;matches;"matches"
astrof;;Astro Fighter (set 1);1979;matches;"matches"
atetris;;Tetris (set 1);1988;matches;"matches"
avsp;;Alien vs. Predator (Euro 940520);1994;matches;"matches"
baddudes;;Bad Dudes vs. Dragonninja (US);1988;matches;"matches"
badlands;;Bad Lands;1989;matches;"matches"
balcube;;Bal Cube;1996;matches;"matches"
bbmanw;;Bomber Man World / New Dyna Blaster - Global Quest;1992;compatible;"6 differences (compatible): 
 - rom [bbm2-h0-a.77] unnecessary
 - rom [bbm2-l0-a.79] unnecessary
 - rom [bbm2-h0.77] unnecessary
 - rom [bbm2-l0.79] unnecessary
 - rom [bbm2-v0-b.30] unnecessary
 - rom [bbm2-sp-b.bin] unnecessary"
beraboho;berabohm;Beraboh Man (Japan version B);1988;incompatible;"48 differences (incompatible): 
 - rom [g81_p0.bin] unnecessary
 - rom [g81_p1.bin] unnecessary
 - rom [g81_p5.bin] unnecessary
 - rom [g81_s0.bin] unnecessary
 - rom [g81_s1.bin] unnecessary
 - rom [g81_v0.bin] unnecessary
 - rom [g81_v1.bin] unnecessary
 - rom [g81_v2.bin] unnecessary
 - rom [g81_v3.bin] unnecessary
 - rom [g81_v4.bin] unnecessary
 - rom [g81_v5.bin] unnecessary
 - rom [g8_chr-0.bin] unnecessary
 - rom [g8_chr-1.bin] unnecessary
 - rom [g8_chr-2.bin] unnecessary
 - rom [g8_chr-3.bin] unnecessary
 - rom [g8_chr-8.bin] unnecessary
 - rom [g8_obj-0.bin] unnecessary
 - rom [g8_obj-1.bin] unnecessary
 - rom [g8_obj-2.bin] unnecessary
 - rom [g8_obj-3.bin] unnecessary
 - rom [g8_obj-4.bin] unnecessary
 - rom [g8_obj-5.bin] unnecessary
 - rom [g8x_p6.bin] unnecessary
 - rom [g8x_p7.bin] unnecessary
 - rom [bm1_s0.bin] missing
 - rom [bm1_p0.bin] missing
 - rom [bm1_p1.bin] missing
 - rom [bm1_p4.bin] missing
 - rom [bm1-p6.bin] missing
 - rom [bm1_p7b.bin] missing
 - rom [bm1_v0.bin] missing
 - rom [bm_voi-1.bin] missing
 - rom [bm1_v2.bin] missing
 - rom [bm_chr-8.bin] missing
 - rom [bm_chr-0.bin] missing
 - rom [bm_chr-1.bin] missing
 - rom [bm_chr-2.bin] missing
 - rom [bm_chr-3.bin] missing
 - rom [bm_chr-4.bin] missing
 - rom [bm_chr-5.bin] missing
 - rom [bm_chr-6.bin] missing
 - rom [bm_obj-0.bin] missing
 - rom [bm_obj-1.bin] missing
 - rom [bm_obj-2.bin] missing
 - rom [bm_obj-3.bin] missing
 - rom [bm_obj-4.bin] missing
 - rom [bm_obj-5.bin] missing
 - rom [bm_obj-7.bin] missing"
bermudat;;Bermuda Triangle (Japan);1987;matches;"matches"
biomtoy;;Biomechanical Toy (unprotected);1995;matches;"matches"
bionicc;;Bionic Commando (US set 1);1987;matches;"matches"
bjtwin;;Bombjack Twin;1993;matches;"matches"
blazeon;;Blaze On (Japan);1992;matches;"matches"
block;;Block Block (World 910910);1991;matches;"matches"
bombjack;;Bomb Jack (set 1);1984;matches;"matches"
bonzeadv;;Bonze Adventure (World, Newer);1988;matches;"matches"
btoads;;Battle Toads;1994;matches;"matches"
bublbob2;;Bubble Bobble II (Ver 2.5O 1994/10/05);1994;compatible;"3 differences (compatible): 
 - rom [d90-09] unnecessary
 - rom [d90-15] unnecessary
 - rom [d90-16] unnecessary"
burningf;;Burning Fight (set 1);1991;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
cadash;;Cadash (World);1989;matches;"matches"
cameltry;;Cameltry (US);1989;matches;"matches"
captaven;;Captain America and The Avengers (Asia Rev 1.9);1991;matches;"matches"
captcomm;;Captain Commando (World 911014);1991;matches;"matches"
cclimber;;Crazy Climber (US);1980;matches;"matches"
cclimbr2;;Crazy Climber 2 (Japan);1988;matches;"matches"
cgangpzl;;Cosmo Gang the Puzzle (US);1992;incompatible;"5 differences (incompatible): 
 - rom [cp1-ep0l.bin] unnecessary
 - rom [cp1-ep0u.bin] unnecessary
 - rom [cp2-ep0l.bin] missing
 - rom [cp2-ep0u.bin] missing
 - rom [c69.bin] missing"
chopper;;Chopper I (US set 1);1988;matches;"matches"
chplft;;Choplifter;1985;matches;"matches"
cninja;;Caveman Ninja (World revision 3);1991;compatible;"20 differences (compatible): 
 - rom [gm01-2.1j] unnecessary
 - rom [gm02-3.1k] unnecessary
 - rom [gm04-2.3j] unnecessary
 - rom [gm05-2.3k] unnecessary
 - rom [gn-01.rom] unnecessary
 - rom [gn-02.rom] unnecessary
 - rom [gn-04.rom] unnecessary
 - rom [gn-05.rom] unnecessary
 - rom [sa_1_012.bin] unnecessary
 - rom [sa_1_017.bin] unnecessary
 - rom [sa_1_018.bin] unnecessary
 - rom [sa_1_019.bin] unnecessary
 - rom [sa_1_031.bin] unnecessary
 - rom [sa_1_032.bin] unnecessary
 - rom [sa_1_033.bin] unnecessary
 - rom [sa_1_069.bin] unnecessary
 - rom [gl01-2.j1] unnecessary
 - rom [gl02-2.k1] unnecessary
 - rom [gl04-2.j3] unnecessary
 - rom [gl05-2.k3] unnecessary"
columns;;Columns (World);1990;matches;"matches"
columns2;;Columns II: The Voyage Through Time (World);1990;incompatible;"4 differences (incompatible): 
 - rom [epr13360.rom] unnecessary
 - rom [epr13361.rom] unnecessary
 - rom [epr13363.bin] missing
 - rom [epr13362.bin] missing"
commando;;Commando (World);1985;can_be_fixed;"1 differences (can_be_fixed): 
 - rom [vt10.h9] wrong name (vt10.h9/expected: vt10.9h)"
contra;;Contra (US);1987;matches;"matches"
cppicf2;cppicf;Peter Pepper's Ice Cream Factory (Cassette, set 2);1984;incompatible;"9 differences (incompatible): 
 - rom [rms8.cpu] missing
 - rom [dsp3.p0b] missing
 - rom [dsp3.p1b] missing
 - rom [rms8.snd] missing
 - rom [cass8041.bin] missing
 - rom [dsp8.3m] missing
 - rom [dsp8.10d] missing
 - rom [rms8.j3] missing
 - rom [cppicf.pro] missing"
crusnusa;;Cruis'n USA (rev L4.1);1994;matches;"matches"
crysbios;;Crystal System BIOS;2001;matches;"matches"
crysking;;The Crystal of Kings;2001;incompatible;"1 differences (incompatible): 
 - rom [mx27l1000.u14] missing"
cshift;;Chicken Shift;1984;matches;"matches"
csprint;;Championship Sprint (rev 3);1986;incompatible;"8 differences (incompatible): 
 - rom [136045-1127.7n] unnecessary
 - rom [136045-2126.7l] unnecessary
 - rom [136045-1125.6f] unnecessary
 - rom [136045-1122.6n] unnecessary
 - rom [136045-3126.7l] missing
 - rom [136045-2127.7n] missing
 - rom [136045-2125.6f] missing
 - rom [136045-2122.6n] missing"
daioh;;Daioh;1993;matches;"matches"
daytona;;Daytona USA (Japan);1993;matches;"matches"
daytona2;;Daytona USA 2;1998;incompatible;"2 differences (incompatible): 
 - rom [mpr20887.ic18] unnecessary
 - rom [mpr-20887.ic18] missing"
dbz2;;Dragonball Z 2 - Super Battle;1994;matches;"matches"
dday;;D-Day;1982;matches;"matches"
ddonpach;;DoDonPachi (International);1997;matches;"matches"
ddragon;;Double Dragon (Japan);1987;matches;"matches"
ddragon2;;Double Dragon II - The Revenge (World);1988;compatible;"2 differences (compatible): 
 - rom [26a8-0.bin] unnecessary
 - rom [26ac-02.bin] unnecessary"
ddribble;;Double Dribble;1986;matches;"matches"
ddsomu;ddsom;Dungeons & Dragons: Shadow over Mystara (US 960619);1996;incompatible;"12 differences (incompatible): 
 - rom [dd2.13m] missing
 - rom [dd2.15m] missing
 - rom [dd2.17m] missing
 - rom [dd2.19m] missing
 - rom [dd2.14m] missing
 - rom [dd2.16m] missing
 - rom [dd2.18m] missing
 - rom [dd2.20m] missing
 - rom [dd2.01] missing
 - rom [dd2.02] missing
 - rom [dd2.11m] missing
 - rom [dd2.12m] missing"
ddtod;;Dungeons & Dragons: Tower of Doom (Euro 940412);1993;matches;"matches"
diehard;;Die Hard Arcade (UET 960515 V1.000);1996;incompatible;"9 differences (incompatible): 
 - rom [epr19730.ic8] missing
 - rom [mp17951a.s] missing
 - rom [mp17952a.s] missing
 - rom [20091.bin] missing
 - rom [mp17953a.ic8] missing
 - rom [mp17954a.s] missing
 - rom [stv110.bin] missing
 - rom [stv1061.bin] missing
 - rom [epr-17740.bin] missing"
dino;;Cadillacs and Dinosaurs (World 930201);1993;matches;"matches"
dkong;;Donkey Kong (US set 1);1981;incompatible;"6 differences (incompatible): 
 - rom [dkong.5f] unnecessary
 - rom [dkong.2k] unnecessary
 - rom [dkong.2j] unnecessary
 - rom [c-2k.bpr] missing
 - rom [c-2j.bpr] missing
 - rom [v-5e.bpr] missing"
dkong3;;Donkey Kong 3 (US);1983;matches;"matches"
dkongjr;;Donkey Kong Junior (US);1982;matches;"matches"
donpachi;;DonPachi (US);1995;incompatible;"1 differences (incompatible): 
 - rom [atdp.u33] missing"
doubledr;;Double Dragon (Neo-Geo);1995;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
dragnblz;;Dragon Blaze;2000;matches;"matches"
elevator;;Elevator Action;1983;matches;"matches"
elvact2u;elvactr;Elevator Action II (Ver 2.2A 1995/02/20);1994;incompatible;"13 differences (incompatible): 
 - rom [e02-12.20] missing
 - rom [e02-11.19] missing
 - rom [e02-10.18] missing
 - rom [e02-03.12] missing
 - rom [e02-02.8] missing
 - rom [e02-01.4] missing
 - rom [e02-08.47] missing
 - rom [e02-07.45] missing
 - rom [e02-06.43] missing
 - rom [e02-13.32] missing
 - rom [e02-14.33] missing
 - rom [e02-04.38] missing
 - rom [e02-05.39] missing"
enduror;;Enduro Racer (YM2151, FD1089B 317-0013A);1986;matches;"matches"
faceoff;;Face Off (Japan);1988;matches;"matches"
fatfury1;;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai;1991;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
fatfury3;;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;1995;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
fbfrenzy;;Football Frenzy;1992;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
ffight;;Final Fight (World);1989;matches;"matches"
ffreveng;;Final Fight Revenge (JUET 990714 V1.000);1999;incompatible;"9 differences (incompatible): 
 - rom [epr19730.ic8] missing
 - rom [mp17951a.s] missing
 - rom [mp17952a.s] missing
 - rom [20091.bin] missing
 - rom [mp17953a.ic8] missing
 - rom [mp17954a.s] missing
 - rom [stv110.bin] missing
 - rom [stv1061.bin] missing
 - rom [epr-17740.bin] missing"
firetrap;;Fire Trap (US);1986;matches;"matches"
frogger;;Frogger;1981;matches;"matches"
ga2;;Golden Axe: The Revenge of Death Adder (World);1992;incompatible;"8 differences (incompatible): 
 - rom [epr14957.b] unnecessary
 - rom [epr14960.b] unnecessary
 - rom [epr15145.b] unnecessary
 - rom [epr15146.b] unnecessary
 - rom [epr14961.b] missing
 - rom [epr14958.b] missing
 - rom [epr15148.b] missing
 - rom [epr15147.b] missing"
galaga;;Galaga (Namco rev. B);1981;incompatible;"18 differences (incompatible): 
 - rom [gg1-7] unnecessary
 - rom [1d.bin] unnecessary
 - rom [gg1-5] unnecessary
 - rom [gg1-2] unnecessary
 - rom [gg1-4] unnecessary
 - rom [1c.bin] unnecessary
 - rom [gg1-1] unnecessary
 - rom [5c.bin] unnecessary
 - rom [2n.bin] unnecessary
 - rom [gg1-1b.3p] missing
 - rom [gg1-2b.3m] missing
 - rom [gg1-4b.2l] missing
 - rom [gg1-5b.3f] missing
 - rom [gg1-7b.2c] missing
 - rom [prom-4.2n] missing
 - rom [prom-3.1c] missing
 - rom [prom-1.1d] missing
 - rom [prom-2.5c] missing"
galaga88;;Galaga '88;1987;incompatible;"24 differences (incompatible): 
 - rom [g81_s0.bin] missing
 - rom [g81_s1.bin] missing
 - rom [g81_p0.bin] missing
 - rom [g81_p1.bin] missing
 - rom [g81_p5.bin] missing
 - rom [g8x_p7.bin] missing
 - rom [ns1-mcu.bin] missing
 - rom [g81_v0.bin] missing
 - rom [g81_v1.bin] missing
 - rom [g81_v2.bin] missing
 - rom [g81_v3.bin] missing
 - rom [g81_v4.bin] missing
 - rom [g81_v5.bin] missing
 - rom [g8_chr-8.bin] missing
 - rom [g8_chr-0.bin] missing
 - rom [g8_chr-1.bin] missing
 - rom [g8_chr-2.bin] missing
 - rom [g8_chr-3.bin] missing
 - rom [g8_obj-0.bin] missing
 - rom [g8_obj-1.bin] missing
 - rom [g8_obj-2.bin] missing
 - rom [g8_obj-3.bin] missing
 - rom [g8_obj-4.bin] missing
 - rom [g8_obj-5.bin] missing"
galaxian;;Galaxian (Namco set 1);1979;matches;"matches"
gaunt2;;Gauntlet II;1986;matches;"matches"
gauntlet;;Gauntlet (rev 14);1985;incompatible;"5 differences (incompatible): 
 - rom [gauntlt1.6p] unnecessary
 - rom [136037-104.6p] missing
 - rom [74s472-136037-101.7u] missing
 - rom [74s472-136037-102.5l] missing
 - rom [74s287-136037-103.4r] missing"
gghost;;Goalie Ghost;1984;matches;"matches"
ghouls;;Ghouls'n Ghosts (World);1988;matches;"matches"
gigawing;;Giga Wing (US 990222);1999;matches;"matches"
gng;;Ghosts'n Goblins (World? set 1);1985;matches;"matches"
goalx3;;Goal! Goal! Goal!;1995;incompatible;"13 differences (incompatible): 
 - rom [209-c2.bin] wrong CRC (3f63c1a2/expected: 5649b015)
 - rom [209-c1.bin] wrong CRC (d061f1f5/expected: b49d980e)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
goldnaxe;;Golden Axe (set 6, US, 8751 317-123A);1989;incompatible;"7 differences (incompatible): 
 - rom [epr12519.a6] unnecessary
 - rom [epr12521.a8] unnecessary
 - rom [epr12523.a7] unnecessary
 - rom [epr12522.a5] unnecessary
 - rom [epr12545.a2] missing
 - rom [epr12544.a1] missing
 - rom [317-0123a.bin] missing"
gp500;;GP500;1999;matches;"matches"
gtmrusa;gtmr;Great 1000 Miles Rally: U.S.A Version! (94/09/06);1994;incompatible;"9 differences (incompatible): 
 - rom [gmmu64.bin] missing
 - rom [gmmu65.bin] missing
 - rom [gmmu27.bin] missing
 - rom [gmmu28.bin] missing
 - rom [gmmu29.bin] missing
 - rom [gmmu30.bin] missing
 - rom [gmmu52.bin] missing
 - rom [gmmu23.bin] missing
 - rom [gmmu24.bin] missing"
gunforc2;;Gunforce 2 (US);1994;matches;"matches"
gunfront;;Gun & Frontier (World);1990;compatible;"1 differences (compatible): 
 - rom [c71-11.ic39] unnecessary"
gunsmoke;;Gun.Smoke (World);1985;matches;"matches"
gwar;;Guerrilla War (US);1987;incompatible;"3 differences (incompatible): 
 - rom [btj_h.prm] missing
 - rom [btj_v.prm] missing
 - rom [ls.bin] missing"
gyruss;;Gyruss (Konami);1983;matches;"matches"
hangly;puckman;Hangly-Man (set 1);1981;incompatible;"6 differences (incompatible): 
 - rom [pacman.5e] missing
 - rom [pacman.5f] missing
 - rom [82s123.7f] missing
 - rom [82s126.4a] missing
 - rom [82s126.1m] missing
 - rom [82s126.3m] missing"
hangon;;Hang-On;1985;incompatible;"1 differences (incompatible): 
 - rom [6844.rom] missing"
hstennis;;Hot Shots Tennis (V1.1);1990;matches;"matches"
ikari;;Ikari Warriors (US);1986;matches;"matches"
indytemp;;Indiana Jones and the Temple of Doom (set 1);1985;matches;"matches"
jackal;;Jackal (World);1986;matches;"matches"
jedi;;Return of the Jedi;1984;matches;"matches"
joust;;Joust (White/Green label);1982;incompatible;"12 differences (incompatible): 
 - rom [joust.wgb] wrong name (joust.wgb/expected: 3006-23.11b)
 - rom [joust.wg9] wrong name (joust.wg9/expected: 3006-21.9b)
 - rom [joust.wg2] wrong name (joust.wg2/expected: 3006-14.2b)
 - rom [joust.wgc] wrong name (joust.wgc/expected: 3006-24.12b)
 - rom [joust.wg8] wrong name (joust.wg8/expected: 3006-20.8b)
 - rom [joust.wg5] wrong name (joust.wg5/expected: 3006-17.5b)
 - rom [joust.wg1] wrong name (joust.wg1/expected: 3006-13.1b)
 - rom [joust.wg6] wrong name (joust.wg6/expected: 3006-18.6b)
 - rom [joust.wg4] wrong name (joust.wg4/expected: 3006-16.4b)
 - rom [joust.wg3] wrong name (joust.wg3/expected: 3006-15.3b)
 - rom [decoder.4] missing
 - rom [decoder.6] missing"
joust2;;Joust 2 - Survival of the Fittest (set 1);1986;matches;"matches"
junglek;;Jungle King (Japan);1982;matches;"matches"
karnov;;Karnov (US);1987;matches;"matches"
kidniki;;Kid Niki - Radical Ninja (World);1986;incompatible;"4 differences (incompatible): 
 - rom [dr11.8k] unnecessary
 - rom [dr04.4e] unnecessary
 - rom [ky_a-4e-g.bin] missing
 - rom [ky_t-8k-g.bin] missing"
kinst;;Killer Instinct (v1.5d);1994;incompatible;"2 differences (incompatible): 
 - rom [u98-l14] unnecessary
 - rom [u98-l15d] missing"
kinst2;;Killer Instinct 2 (v1.4);1995;matches;"matches"
klax;;Klax (set 1);1989;matches;"matches"
knights;;Knights of the Round (World 911127);1991;matches;"matches"
