# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
lordgun||Lord of Gun (USA)|Unplayable|IGS|1994|lordgun|lordgun
lordofk|astyanax|The Lord of King (Japan)|Platform / Fighter Scrolling|Jaleco|1989|astyanax|astyanax
losttomb||Lost Tomb (easy)|Maze / Shooter Small|Stern Electronics|1982|losttomb|losttomb
lostwrld|forgottn|Lost Worlds (Japan)|Shooter / Flying Horizontal|Capcom|1988|forgottn|forgottn
lostwsga||The Lost World|Unplayable|Sega|1997||
lotlot||Lot Lot|Puzzle|Irem (licensed from Tokuma Shoten)|1985|lotlot|lotlot
lottof2||Lotto Fun 2||HAR|1993||
lottofun||Lotto Fun|Misc. Betting|H.A.R. Management|1987|lottofun|lottofun
lovehous|club90s|Mahjong Love House [BET] (Japan 901024)|Tabletop / Mahjong|Nichibutsu|1990|club90s|club90s
lrescue||Lunar Rescue|Maze / Shooter Small|Taito|1979|lrescue|lrescue
lresort||Last Resort|Shooter / Flying Horizontal|SNK|1992|lresort|lresort
lsasquad||Land Sea Air Squad / Riku Kai Kuu Saizensen|Shooter / Misc. Vertical|Taito|1986|lsasquad|lsasquad
ltcasino||Little Casino (older)|Casino|Digital Controls Inc.|1982|ltcasino|ltcasino
lucky8||New Lucky 8 Lines (set 1, W-4)||Wing Co., Ltd. / GEI|1989||
luckywld||Lucky & Wild|Driving / Race 1st Person|Namco|1992|luckywld|luckywld
luctoday||Lucky Today||Sigma|1980||
lunarba1|gravitar|Lunar Battle (prototype, earlier)|Shooter / Field|Atari|1982|gravitar|gravitar
lunarbat|gravitar|Lunar Battle (prototype, later)|Shooter / Field|Atari|1982|gravitar|gravitar
lupin3||Lupin III (set 1)|Maze|Taito|1980|lupin3|lupin3
luplup|suplup|Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 3.0 / 990128)||Omega System|1999||
luplup29|suplup|Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 2.9 / 990108)||Omega System|1999||
lvcards||Lovely Cards|Casino|Tehkan|1985|lvcards|lvcards
lvgirl94||Las Vegas Girl (Girl '94)|Puzzle / Drop|Comad|1994|lvgirl94|lvgirl94
lvpoker|lvcards|Lovely Poker [BET]||Tehkan|1985|lvcards|lvcards
lwings||Legendary Wings (US set 1)|Shooter / Flying Vertical|Capcom|1986|lwings|lwings
lwings2|lwings|Legendary Wings (US set 2)|Shooter / Flying Vertical|Capcom|1986|lwings|lwings
m4||M-4|Shooter / Versus|Midway|1977|m4|m4
m660||Mission 660 (US)|Shooter / Flying Vertical|Wood Place Inc. (Taito America Corporation license)|1986|m660|m660
m660b|m660|Mission 660 (bootleg)|Shooter / Flying Vertical|bootleg|1986|m660|m660
m660j|m660|Mission 660 (Japan)|Shooter / Flying Vertical|Wood Place Inc. (Taito Corporation license)|1986|m660|m660
m79amb||M-79 Ambush|Shooter / Gallery|RamTek|1977|m79amb|m79amb
mace||Mace: The Dark Age (boot ROM 1.0ce, HDD 1.0b)|Fighter / Versus|Atari Games|1996|mace|mace
macea|mace|Mace: The Dark Age (HDD 1.0a)||Atari Games|1997|mace|mace
mach3||M.A.C.H. 3|Shooter / Flying (chase view)|Mylstar|1983|mach3|mach3
machbrkr||Mach Breakers - Numan Athletics 2 (Japan)|Sports / Track & Field|Namco|1995|machbrkr|machbrkr
machomou||Macho Mouse|Maze / Outline|Techstar|1982|machomou|machomou
machridr||Vs. Mach Rider (Endurance Course Version)|Shooter / Driving (chase view)|Nintendo|1985|machridr|machridr
macross||Super Spacefortress Macross / Chou-Jikuu Yousai Macross|Shooter / Flying Vertical|Banpresto|1992|macross|macross
macross2||Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II|Shooter / Flying Horizontal|Banpresto|1993|macross2|macross2
macrossp||Macross Plus|Shooter / Flying Vertical|Banpresto|1996|macrossp|macrossp
macsbios||Multi Amenity Cassette System BIOS|BIOS|I'Max|1995||
madalien||Mad Alien|Shooter / Gallery|Data East Corporation|1980|madalien|madalien
madball||Mad Ball V2.0||Yun Sung|1998||
madcrash||Mad Crasher|Shooter / Driving Diagonal|SNK|1984|madcrash|madcrash
maddonna||Mad Donna (set 1)|Maze / Shooter Small|Tuning|1995|maddonna|maddonna
maddonnb|maddonna|Mad Donna (set 2)|Maze / Shooter Small|Tuning|1995|maddonna|maddonna
madgear||Mad Gear (US)|Driving / Race|Capcom|1989|madgear|madgear
madgearj|madgear|Mad Gear (Japan)|Driving / Race|Capcom|1989|madgear|madgear
madmotor||Mad Motor|Fighter / 2.5D|Mitchell|1989|madmotor|madmotor
madshark||Mad Shark|Shooter / Flying Vertical|Allumer|1993|madshark|madshark
magdrop|chainrec|Magical Drop (Japan, Version 1.1, 1995.06.21)|Unplayable|Data East|1995|chainrec|chainrec
magdrop2||Magical Drop II|Puzzle / Toss|Data East Corporation|1996|magdrop2|magdrop2
magdrop3||Magical Drop III|Puzzle / Toss|Data East Corporation|1997|magdrop3|magdrop3
magdropp|chainrec|Magical Drop Plus 1 (Japan, Version 2.1, 1995.09.12)|Unplayable|Data East|1995|chainrec|chainrec
magerror||Magical Error wo Sagase||Technosoft / Jaleco|1994||
magic10||Magic's 10 (ver. 16.55)||A.W.P. Games|1995||
magic102||Magic's 10 2 (ver 1.1)||ABM Games|1997||
magic10a|magic10|Magic's 10 (ver. 16.45)||A.W.P. Games|1995||
magicbub||Magic Bubble|Puzzle / Toss|Yun Sung|1969|magicbub|magicbub
magicstk||Magic Sticks||Playmark|1995||
magix||Magix / Rock|Puzzle / Drop|Yun Sung|1995|magix|magix
maglord||Magician Lord (NGM-005)|Platform / Shooter Scrolling|Alpha Denshi Co.|1990|maglord|maglord
maglordh|maglord|Magician Lord (NGH-005)|Platform / Shooter Scrolling|Alpha Denshi Co.|1990|maglord|maglord
magmax||Mag Max|Shooter / Misc. Horizontal|Nichibutsu|1985|magmax|magmax
magspot||Magical Spot|Shooter / Gallery|Universal|1980|magspot|magspot
magspot2||Magical Spot II|Shooter / Gallery|Universal|1980|magspot2|magspot2
magworm|centiped|Magic Worm (bootleg of Centipede)|Shooter / Gallery|bootleg|1980|centiped|centiped
mahmajn||Tokoro San no MahMahjan (Japan, ROM Based)|Tabletop / Mahjong|Sega|1992|mahmajn|mahmajn
mahmajn2||Tokoro San no MahMahjan 2 (Japan, ROM Based)|Tabletop / Mahjong|Sega|1994|mahmajn2|mahmajn2
mahoudai|sstriker|Mahou Daisakusen (Japan)|Shooter / Flying Vertical|Raizing (Able license)|1993|mahoudai|mahoudai
mahretsu||Mahjong Kyo Retsuden (NGM-004)(NGH-004)|Tabletop / Mahjong|SNK|1990|mahretsu|mahretsu
maiko||Maikobana (Japan 900802)|Tabletop / Hanafuda|Nichibutsu|1990|maiko|maiko
mainevt||The Main Event (4 Players ver. Y)|Wrestling|Konami|1988|mainevt|mainevt
mainevto|mainevt|The Main Event (4 Players ver. F)|Wrestling|Konami|1988|mainevt|mainevt
mainsnk||Main Event (1984)|Wrestling|SNK|1984|mainsnk|mainsnk
majest12|ssi|Majestic Twelve - The Space Invaders Part IV (Japan)|Shooter / Gallery|Taito Corporation|1990|ssi|ssi
majs101b||Mahjong Studio 101 [BET] (Japan)|Tabletop / Mahjong|Dynax|1988|majs101b|majs101b
majtitl2||Major Title 2 (World)|Sports / Golf|Irem|1992|majtitl2|majtitl2
majtitle||Major Title (World)|Sports / Golf|Irem|1990|majtitle|majtitle
majuu|devilw|Majuu no Ohkoku|Shooter / Walking|Konami|1987|devilw|devilw
makaiden|lomakai|Makai Densetsu (Japan)|Fighter / 2D|Jaleco|1988|lomakai|lomakai
makaimur|gng|Makai-Mura (Japan)|Platform / Fighter Scrolling|Capcom|1985|gng|gng
maketrax|crush|Make Trax (US set 1)|Maze|Alpha Denshi Co. / Kural (Williams license)|1981|crush|crush
maketrxb|crush|Make Trax (US set 2)|Maze|Alpha Denshi Co. / Kural (Williams license)|1981|crush|crush
makyosen|gondo|Makyou Senshi (Japan)|Shooter / Flying Vertical|Data East Corporation|1987|gondo|gondo
malzak||Malzak|Unplayable|Kitronix|1969|malzak|malzak
malzak2|malzak|Malzak II||Kitronix|1969|malzak|malzak
mangchi||Mang-Chi||Afega|2000||
manhatan|jailbrek|Manhattan 24 Bunsyo (Japan)|Platform / Shooter Scrolling|Konami|1986|jailbrek|jailbrek
maniach||Mania Challenge (set 1)|Wrestling|Technos Japan (Taito America license)|1986|maniach|maniach
maniach2|maniach|Mania Challenge (set 2)|Wrestling|Technos Japan (Taito America license)|1986|maniach|maniach
maniacsp|maniacsq|Maniac Square (prototype)|Puzzle / Drop|Gaelco|1996|maniacsq|maniacsq
maniacsq||Maniac Square (unprotected)|Puzzle / Drop|Gaelco|1996|maniacsq|maniacsq
manxtt||Manx TT Superbike - Twin (Revision C)|Unplayable|Sega|1995||
manybloc||Many Block|Puzzle / Drop|Bee-Oh|1991|manybloc|manybloc
mappy||Mappy (US)|Platform / Run Jump|Namco|1983|mappy|mappy
mappyj|mappy|Mappy (Japan)|Platform / Run Jump|Namco|1983|mappy|mappy
marble||Marble Madness (set 1)|Maze|Atari Games|1984|marble|marble
marble2|marble|Marble Madness (set 2)|Maze|Atari Games|1984|marble|marble
marble3|marble|Marble Madness (set 3)|Maze|Atari Games|1984|marble|marble
marble4|marble|Marble Madness (set 4)|Maze|Atari Games|1984|marble|marble
marineb||Marine Boy|Misc.|Orca|1982|marineb|marineb
marinedt||Marine Date|Maze|Taito|1981|marinedt|marinedt
mariner||Mariner|Shooter / Misc. Horizontal|Amenip|1981|mariner|mariner
mario||Mario Bros. (US, Revision F)|Platform / Run Jump|Nintendo of America|1983|mario|mario
markham||Markham|Shooter / Flying Horizontal|Sun Electronics|1983|markham|markham
mars||Mars|Shooter / Flying Horizontal|Artic|1981|mars|mars
martmast||Martial Masters (ver. 104, 102, 102US)||IGS|2001||
maruchan||Maru-Chan de Goo! (J 971216 V1.000)|Unplayable|Sega / Toyosuisan|1997|maruchan|maruchan
marukin||Super Marukin-Ban (Japan 901017)|Tabletop / Mahjong|Yuga|1990|marukin|marukin
marukodq||Chibi Marukochan Deluxe Quiz|Quiz / Japanese|Takara|1995|marukodq|marukodq
marvins||Marvin's Maze|Maze|SNK|1983|marvins|marvins
marvland||Marvel Land (US)|Platform / Fighter Scrolling|Namco|1989|marvland|marvland
masao|mario|Masao|Platform / Run Jump|bootleg|1983|mario|mario
mastboy||Master Boy (Spanish, PCB Rev A)||Gaelco|1991||
mastboyi|mastboy|Master Boy (Italian, PCB Rev A)||Gaelco|1991||
masterw||Master of Weapon (World)|Shooter / Flying Vertical|Taito Corporation Japan|1989|masterw|masterw
masterwu|masterw|Master of Weapon (US)||Taito America Corporation|1989|masterw|masterw
mastkin||The Masters of Kin|Fighter / 2D|Du Tech|1988|mastkin|mastkin
matchit||Match It|Puzzle / Match|Tamtex|1989||
matchit2||Match It II||Tamtex|1993||
matmania||Mat Mania|Wrestling|Technos Japan (Taito America license)|1985|matmania|matmania
matrim||Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660)|Fighter / Versus|Noise Factory / Atlus|2002||
mausuke||Mausuke no Ojama the World (J 960314 V1.000)|Puzzle / Drop|Data East|1996|mausuke|mausuke
maxaflex||Max-A-Flex|BIOS|Exidy|1984||
maxf_102|maxforce|Maximum Force v1.02|Shooter / Gun|Atari Games|1996|maxforce|maxforce
maxforce||Maximum Force v1.05|Shooter / Gun|Atari Games|1996|maxforce|maxforce
maxrpm||Max RPM (ver 2)|Driving / Race (chase view)|Bally Midway|1986|maxrpm|maxrpm
maya||Maya (set 1)|Puzzle / Match|Promat|1994|maya|maya
mayday||Mayday (set 1)|Shooter / Flying Horizontal|Hoei|1980|mayday|mayday
maydaya|mayday|Mayday (set 2)|Shooter / Flying Horizontal|Hoei|1980|mayday|mayday
maydayb|mayday|Mayday (set 3)|Shooter / Flying Horizontal|Hoei|1980|mayday|mayday
mayhem||Mayhem 2002|Sports|Cinematronics|1985|mayhem|mayhem
mayjinsn||Mayjinsen|Unplayable|Seta|1994|mayjinsn|mayjinsn
mayjisn2||Mayjinsen 2|Tabletop / Shougi|Seta|1994|mayjisn2|mayjisn2
mayumi||Kikiippatsu Mayumi-chan (Japan)|Tabletop / Mahjong|Sanritsu / Victory L.L.C.|1988|mayumi|mayumi
maze||Amazing Maze|Maze|Midway|1976|maze|maze
mazerbla||Mazer Blazer (set 1)|Shooter / 1st Person|Stern Electronics|1983|mazerbla|mazerbla
mazinger||Mazinger Z (World)|Shooter / Flying Vertical|Banpresto / Dynamic Pl. Toei Animation|1994|mazinger|mazinger
mbomberj|slammast|Muscle Bomber: The Body Explosion (Japan 930713)|Wrestling|Capcom|1993|slammast|slammast
mbombrd||Muscle Bomber Duo: Ultimate Team Battle (World 931206)|Wrestling|Capcom|1993||
mbombrdj|mbombrd|Muscle Bomber Duo: Heat Up Warriors (Japan 931206)|Wrestling|Capcom|1993||
mbrush|crush|Magic Brush (bootleg of Crush Roller)|Maze|bootleg|1981|crush|crush
mcatadv||Magical Cat Adventure|Platform / Shooter Scrolling|Wintechno|1993|mcatadv|mcatadv
mcatadvj|mcatadv|Magical Cat Adventure (Japan)|Platform / Shooter Scrolling|Wintechno|1993|mcatadv|mcatadv
mchampdx||Multi Champ Deluxe (ver. 0106, 06/01/2000)||ESD|2000||
mcitylov|citylove|City Love [BET] (Japan 860904)|Tabletop / Mahjong|Nichibutsu|1986|citylove|citylove
mcnpshnt||Mahjong Campus Hunting (Japan)|Tabletop / Mahjong|Dynax|1990|mcnpshnt|mcnpshnt
mcontest||Miss Mahjong Contest (Japan)|Tabletop / Mahjong|Nichibutsu|1989|mcontest|mcontest
mdhorse||Derby Quiz My Dream Horse (Japan, MDH1/VER.A2)|Quiz / Japanese|Namco|1998|mdhorse|mdhorse
mechatt||Mechanized Attack (World)|Shooter / Gun|SNK|1989|mechatt|mechatt
mechattu|mechatt|Mechanized Attack (US)||SNK|1989|mechatt|mechatt
medlanes||Meadows Lanes|Sports / Bowling|Meadows Games, Inc.|1977|medlanes|medlanes
megadon||Megadon|Shooter / Field|Epos Corporation (Photar Industries license)|1982|megadon|megadon
megaforc|starforc|Mega Force|Shooter / Flying Vertical|Tehkan (Video Ware license)|1985|starforc|starforc
megaman||Mega Man: The Power Battle (CPS1, USA 951006)|Fighter / Versus Co-op|Capcom|1995|megaman|megaman
megaman2||Mega Man 2: The Power Fighters (USA 960708)|Fighter / Versus Co-op|Capcom|1996|megaman2|megaman2
megaplay||Mega Play BIOS|BIOS|Sega|1993||
megatack||Megatack|Shooter / Gallery|Game Plan (Centuri license)|1980|megatack|megatack
megatech||Mega-Tech|BIOS|Sega|1989||
megazone||Mega Zone (Konami set 1)|Shooter / Driving Vertical|Konami|1983|megazone|megazone
meijinsn||Meijinsen|Unplayable|SNK|1986|meijinsn|meijinsn
meikyuh|ghostb|Meikyuu Hunter G (Japan, set 1)|Shooter / Walking|Data East Corporation|1987|ghostb|ghostb
meosism||Meosis Magic (Japan)|Misc.|Sammy|1969|meosism|meosism
mercs||Mercs (World 900302)|Shooter / Walking|Capcom|1990|mercs|mercs
mercsj|mercs|Senjou no Ookami II (Japan 900302)|Shooter / Walking|Capcom|1990|mercs|mercs
mercsu|mercs|Mercs (USA 900608)|Shooter / Walking|Capcom|1990|mercs|mercs
merlinmm||Merlins Money Maze|Maze|Zilec-Zenitone|1986||
mermaid||Mermaid|Sports|Sanritsu / Rock-Ola|1982|mermaid|mermaid
metafox||Meta Fox|Shooter / Flying Vertical|Seta|1989|metafox|metafox
metalb||Metal Black (World)|Shooter / Flying Horizontal|Taito Corporation Japan|1991|metalb|metalb
metalbj|metalb|Metal Black (Japan)|Shooter / Flying Horizontal|Taito Corporation|1991|metalb|metalb
metamrph||Metamorphic Force (ver EAA)|Fighter / 2.5D|Konami|1993|metamrph|metamrph
meteor|spcforce|Meteoroids|Shooter / Field|Venture Line|1981|spcforce|spcforce
meteorts|asteroid|Meteorites (bootleg of Asteroids)|Shooter / Field|bootleg (VGG)|1979|asteroid|asteroid
metlclsh||Metal Clash (Japan)|Fighter / Misc.|Data East|1985|metlclsh|metlclsh
metlhawk||Metal Hawk|Shooter / Flying|Namco|1988|metlhawk|metlhawk
metlsavr||Metal Saver||First Amusement|1994||
metmqstr||Metamoqester (International)|Fighter / Versus Co-op|Banpresto / Pandorabox|1995|metmqstr|metmqstr
metrocrs||Metro-Cross (set 1)|Platform / Run Jump Scrolling|Namco|1985|metrocrs|metrocrs
mexico86|kicknrun|Mexico 86 (bootleg of Kick and Run)|Sports / Soccer|bootleg|1986|kicknrun|kicknrun
mf_achas||Astro Chase (Max-A-Flex)|Shooter / Field|Exidy / First Star Software|1982||
mf_bdash||Boulder Dash (Max-A-Flex)|Maze / Digging|Exidy / First Star Software|1984||
mf_brist||Bristles (Max-A-Flex)|Platform / Run Jump|Exidy / First Star Software|1983||
mf_flip||Flip & Flop (Max-A-Flex)|Platform / Run Jump|Exidy / First Star Software|1983||
mfjump||Monster Farm Jump (Japan)|Platform / Run Jump|Tecmo|2001|mfjump|mfjump
mfunclub||Mahjong Fun Club - Idol Saizensen (Japan)|Tabletop / Mahjong|Video System Co.|1989|mfunclub|mfunclub
mgakuen||Mahjong Gakuen|Tabletop / Mahjong|Yuga|1988|mgakuen|mgakuen
mgakuen2||Mahjong Gakuen 2 Gakuen-chou no Fukushuu|Tabletop / Mahjong|Face|1989|mgakuen2|mgakuen2
mgcldate|mgcldtex|Magical Date / Magical Date - dokidoki kokuhaku daisakusen (Ver 2.02J)|Mini-Games|Taito|1996|mgcldtex|mgcldtex
mgcldtex||Magical Date EX / Magical Date - sotsugyou kokuhaku daisakusen (Ver 2.01J)|Mini-Games|Taito|1997|mgcldtex|mgcldtex
mgcrystl||Magical Crystals (World, 92/01/10)|Maze / Shooter Large|Kaneko|1991|mgcrystl|mgcrystl
mgion||Gionbana [BET] (Japan 890207)|Tabletop / Hanafuda|Nichibutsu|1989||mgion
mgmen89||Mahjong G-MEN'89 (Japan 890425)|Tabletop / Mahjong|Nichibutsu|1989|mgmen89|mgmen89
mgolf||Atari Mini Golf (prototype)|Sports / Golf|Atari|1978|mgolf|mgolf
mhavoc||Major Havoc (rev 3)|Shooter / Misc.|Atari|1983|mhavoc|mhavoc
mhavoc2|mhavoc|Major Havoc (rev 2)|Shooter / Misc.|Atari|1983|mhavoc|mhavoc
mhavocp|mhavoc|Major Havoc (prototype)|Shooter / Misc.|Atari|1983|mhavoc|mhavoc
mhavocrv|mhavoc|Major Havoc (Return to Vax)|Shooter / Misc.|Atari / JMA|1983|mhavoc|mhavoc
mhgaiden||Mahjong Hourouki Gaiden (Japan)|Tabletop / Mahjong|Home Data|1987|mhgaiden|mhgaiden
mhhonban||Mahjong Housoukyoku Honbanchuu (Japan)|Tabletop / Mahjong|Nichibutsu?|1969||mhhonban
mia||M.I.A. - Missing in Action (version T)|Platform / Fighter Scrolling|Konami|1989|mia|mia
mia2|mia|M.I.A. - Missing in Action (version S)|Platform / Fighter Scrolling|Konami|1989|mia|mia
miaj|mia|M.I.A. - Missing in Action (Japan)|Platform / Fighter Scrolling|Konami|1989|mia|mia
midnrun||Midnight Run (Euro v1.11)|Unplayable|Konami|1995||midnrun
midres||Midnight Resistance (World)|Platform / Shooter Scrolling|Data East Corporation|1989|midres|midres
midresj|midres|Midnight Resistance (Japan)|Platform / Shooter Scrolling|Data East Corporation|1989|midres|midres
midresu|midres|Midnight Resistance (US)|Platform / Shooter Scrolling|Data East USA|1989|midres|midres
miexchng||Money Puzzle Exchanger / Money Idol Exchanger|Puzzle / Toss|Face|1997|miexchng|miexchng
mightguy||Mighty Guy|Fighter / Vertical|Nichibutsu|1986|mightguy|mightguy
mightybj||Vs. Mighty Bomb Jack (Japan)|Platform / Run Jump Scrolling|Tecmo|1986|mightybj|mightybj
mikie||Mikie|Misc.|Konami|1984|mikie|mikie
mikiehs|mikie|Mikie (High School Graffiti)|Misc.|Konami|1984|mikie|mikie
mikiej|mikie|Shinnyuushain Tooru-kun|Misc.|Konami|1984|mikie|mikie
milliped||Millipede|Shooter / Gallery|Atari|1982|milliped|milliped
millpac|centiped|Millpac (bootleg of Centipede)|Shooter / Gallery|bootleg? (Valadon Automation)|1980|centiped|centiped
mimonkey||Mighty Monkey|Shooter / Flying Horizontal|Universal Video Games|1982|mimonkey|mimonkey
mimonsco|mimonkey|Mighty Monkey (bootleg on Super Cobra hardware)|Shooter / Flying Horizontal|bootleg|1982|mimonkey|mimonkey
mimonscr|mimonkey|Mighty Monkey (bootleg on Scramble hardware)|Shooter / Flying Horizontal|bootleg|1982|mimonkey|mimonkey
minasan||Minasanno Okagesamadesu! Daisugorokutaikai (MOM-001)(MOH-001)|Tabletop / Mahjong|Monolith Corp.|1990|minasan|minasan
minefld||Minefield|Shooter / Driving Horizontal|Stern Electronics|1983|minefld|minefld
mineswpr||Minesweeper|Maze / Surround|Amutech|1977|mineswpr|mineswpr
minferno||Inferno (Meadows)|Shooter / Gallery|Meadows Games, Inc.|1978|minferno|minferno
minigolf||Mini Golf (set 1)|Sports / Golf|Bally/Sente|1985|minigolf|minigolf
minivadr||Mini Vaders|Shooter / Gallery|Taito Corporation|1990|minivadr|minivadr
mirax||Mirax (set 1)||Current Technologies|1985||
mirninja||Mirai Ninja (Japan)|Platform / Shooter Scrolling|Namco|1988|mirninja|mirninja
misncrft||Mission Craft (version 2.4)|Shooter / Flying Vertical|Sun|2000|misncrft|misncrft
missb2||Miss Bubble II|Platform / Run Jump|Alpha Co.|1996||
missile||Missile Command (rev 3)|Shooter / Command|Atari|1980|missile|missile
missile2|missile|Missile Command (rev 2)|Shooter / Command|Atari|1980|missile|missile
missmw96|missw96|Miss Mister World '96 (Nude)|Puzzle / Outline|Comad|1996|missw96|missw96
missw96||Miss World '96 (Nude)|Puzzle / Outline|Comad|1996|missw96|missw96
mizubaku|liquidk|Mizubaku Daibouken (Japan)|Platform / Fighter Scrolling|Taito Corporation|1990|liquidk|liquidk
mj4simai||Wakakusamonogatari Mahjong Yonshimai (Japan)|Tabletop / Mahjong|Maboroshi Ware|1996|mj4simai|mj4simai
mjanbari|janbari|Medal Mahjong Janjan Baribari [BET] (Japan)|Tabletop / Mahjong|Nichibutsu / Yubis / AV Japan|1992|mjanbari|janbari
mjangels||Mahjong Angels - Comic Theater Vol.2 (Japan)|Tabletop / Mahjong|Dynax|1991|mjangels|mjangels
mjcamera||Mahjong Camera Kozou (set 1) (Japan 881109)|Tabletop / Mahjong|Miki Syouji|1988|mjcamera|mjcamera
mjcamerb||Mahjong Camera Kozou (set 2) (Japan 881109)|Tabletop / Mahjong|Miki Syouji|1989||mjcamerb
mjchuuka||Mahjong Chuukanejyo (China)||Dynax|1998||
mjclinic||Mahjong Clinic (Japan)|Tabletop / Mahjong|Home Data|1988|mjclinic|mjclinic
mjdchuka||Mahjong The Dai Chuuka Ken (China, v. D111)||Dynax|1995||
mjderngr||Mahjong Derringer (Japan)|Tabletop / Mahjong|Dynax|1989|mjderngr|mjderngr
mjdialq2||Mahjong Dial Q2 (Japan)|Tabletop / Mahjong|Dynax|1991|mjdialq2|mjdialq2
mjdiplob||Mahjong Diplomat [BET] (Japan)|Tabletop / Mahjong|Dynax|1987|mjdiplob|mjdiplob
mjegolf||Mahjong Erotica Golf (Japan)|Tabletop / Mahjong|Fujic / AV Japan|1994|mjegolf|mjegolf
mjelct3|mjelctrn|Mahjong Electron Base (parts 2 & 3, Japan)|Tabletop / Mahjong|Dynax|1990|mjelctrn|mjelctrn
mjelct3a|mjelctrn|Mahjong Electron Base (parts 2 & 3, alt., Japan)|Tabletop / Mahjong|Dynax|1990|mjelctrn|mjelctrn
mjelctrn||Mahjong Electron Base (parts 2 & 4, Japan)|Tabletop / Mahjong|Dynax|1993|mjelctrn|mjelctrn
mjfocus||Mahjong Focus (Japan 890313)|Tabletop / Mahjong|Nichibutsu|1989|mjfocus|mjfocus
mjfocusm|mjfocus|Mahjong Focus [BET] (Japan 890510)|Tabletop / Mahjong|Nichibutsu|1989|mjfocus|mjfocus
mjfriday||Mahjong Friday (Japan)|Tabletop / Mahjong|Dynax|1989|mjfriday|mjfriday
mjgottsu||Mahjong Gottsu ee-kanji (Japan)|Tabletop / Mahjong|Nichibutsu|1991|mjgottsu|mjgottsu
mjgottub||Medal Mahjong Gottsu ee-kanji [BET] (Japan)|Tabletop / Mahjong|Nichibutsu|1991||mjgottub
mjgtaste||Mahjong G-Taste||Psikyo|2002||
mjhokite||Mahjong Hourouki Okite (Japan)|Tabletop / Mahjong|Home Data|1988|mjhokite|mjhokite
mjifb||Mahjong If...? [BET]|Unplayable|Dynax|1990|mjifb|mjifb
mjikaga||Mahjong Ikaga Desu ka (Japan)|Tabletop / Mahjong|Mitchell|1969|mjikaga|mjikaga
mjkinjas||Mahjong Kinjirareta Asobi (Japan)|Tabletop / Mahjong|Home Data|1991|mjkinjas|mjkinjas
mjkjidai||Mahjong Kyou Jidai (Japan)|Tabletop / Mahjong|Sanritsu|1986|mjkjidai|mjkjidai
mjkoiura||Mahjong Koi Uranai (Japan set 1)|Tabletop / Mahjong|Nichibutsu|1992|mjkoiura|mjkoiura
mjkojink||Mahjong Kojinkyouju (Private Teacher) (Japan)|Tabletop / Mahjong|Home Data|1989|mjkojink|mjkojink
mjlaman||Mahjong La Man (Japan)|Tabletop / Mahjong|Nichibutsu / AV Japan|1993|mjlaman|mjlaman
mjleague||Major League|Sports / Baseball|Sega|1985|mjleague|mjleague
mjlstory||Mahjong Jikken Love Story (Japan)|Tabletop / Mahjong|Nichibutsu|1991|mjlstory|mjlstory
mjmyster||Mahjong The Mysterious World (set 1)||Dynax|1994||
mjnanpaa|mjnanpas|Mahjong Nanpa Story (Japan 890712)|Tabletop / Mahjong|Brooks|1989|mjnanpas|mjnanpas
mjnanpas||Mahjong Nanpa Story (Japan 890713)|Tabletop / Mahjong|Brooks|1989|mjnanpas|mjnanpas
mjnanpau|mjnanpas|Mahjong Nanpa Story (Ura) (Japan 890805)|Tabletop / Mahjong|Brooks|1989|mjnanpas|mjnanpas
mjnatsu||Mahjong Natsu Monogatari (Japan)|Tabletop / Mahjong|Video System Co.|1989|mjnatsu|mjnatsu
mjnquest||Mahjong Quest (Japan)|Tabletop / Mahjong|Taito Corporation|1990|mjnquest|mjnquest
mjreach1||Mahjong Reach Ippatsu (Japan)||Nihon System|1998||
mjsikakb|mjsikaku|Mahjong Shikaku (Japan 880722)|Tabletop / Mahjong|Nichibutsu|1988|mjsikaku|mjsikaku
mjsikakc|mjsikaku|Mahjong Shikaku (Japan 880806)|Tabletop / Mahjong|Nichibutsu|1988|mjsikaku|mjsikaku
mjsikakd|mjsikaku|Mahjong Shikaku (Japan 880802)|Tabletop / Mahjong|Nichibutsu|1988|mjsikaku|mjsikaku
mjsikaku||Mahjong Shikaku (Japan 880908)|Tabletop / Mahjong|Nichibutsu|1988|mjsikaku|mjsikaku
mjsister||Mahjong Sisters (Japan)|Tabletop / Mahjong|Toaplan|1986|mjsister|mjsister
mjuraden||Mahjong Uranai Densetsu (Japan)|Tabletop / Mahjong|Nichibutsu / Yubis|1992|mjuraden|mjuraden
mjyougo||Mahjong-yougo no Kisotairyoku (Japan)|Tabletop / Mahjong|Home Data|1989|mjyougo|mjyougo
mjyuugi||Mahjong Yuugi (Japan set 1)|Tabletop / Mahjong|Visco|1990|mjyuugi|mjyuugi
mjyuugia|mjyuugi|Mahjong Yuugi (Japan set 2)|Tabletop / Mahjong|Visco|1990|mjyuugi|mjyuugi
mjzoomin||Mahjong Channel Zoom In (Japan)|Tabletop / Mahjong|Jaleco|1990|mjzoomin|mjzoomin
